source,candidate,mode,threshold,AP50_min,AP50_max,AP50_95_min,AP50_95_max,AP50_policy_band,AP50_95_policy_band
aitod,aitod_baseline640,absolute,24.0,0.23432042216957372,0.23893504161381787,0.11656709312033554,0.1682667602868122,0.004614619444244156,0.05169966716647666
aitod,aitod_baseline640,normalized,0.015,0.23432042216957372,0.2510579838036577,0.11656709312033554,0.14162855660138624,0.016737561634083964,0.02506146348105069
uavdt,uavdt_baseline640,absolute,24.0,0.2137825071600079,0.2152692023717657,0.0960866721183772,0.0961487295063139,0.001486695211757788,6.20573879367009e-05
uavdt,uavdt_baseline640,normalized,0.015,0.1511988382578097,0.2152692023717657,0.0679313091719411,0.0960866721183772,0.064070364113956,0.0281553629464361
uavdt,uavdt_tiling,absolute,24.0,0.2420975884224911,0.24931814067992886,0.09540932032587486,0.09836644980071821,0.007220552257437757,0.002957129474843348
uavdt,uavdt_tiling,normalized,0.015,0.1526071288044782,0.24931814067992886,0.060572544009378566,0.09836644980071821,0.09671101187545067,0.03779390579133964
uavdt,uavdt_yolo11m704,absolute,24.0,0.1386884895693467,0.14304682500032692,0.0481061270675945,0.04963944141219131,0.004358335430980215,0.0015333143445968103
uavdt,uavdt_yolo11m704,normalized,0.015,0.1365784229854583,0.13868848956934676,0.048106127067594553,0.04886029723692049,0.002110066583888459,0.0007541701693259337
uavdt,uavdt_yolo11n640,absolute,24.0,0.0822658273812341,0.0858994957123031,0.034334516201927,0.0355609369666224,0.0036336683310689982,0.0012264207646954031
uavdt,uavdt_yolo11n640,normalized,0.015,0.0822658273812341,0.1066508697896119,0.034334516201927,0.0435245369776222,0.0243850424083778,0.009190020775695203
visdrone,visdrone_baseline640,absolute,24.0,0.3638084282997412,0.3873039661799713,0.275043560906634,0.3080109021635587,0.023495537880230122,0.03296734125692469
visdrone,visdrone_baseline640,normalized,0.015,0.3638084282997412,0.3891960901811683,0.275043560906634,0.3058620428159728,0.025387661881427104,0.03081848190933878
visdrone,visdrone_sahi640,absolute,24.0,0.7182570369109975,0.7599875143846693,0.4138265434637234,0.4779819760921149,0.041730477473671757,0.06415543262839152
visdrone,visdrone_sahi640,normalized,0.015,0.7182570369109975,0.764221813750588,0.4138265434637234,0.4704644377192755,0.04596477683959044,0.0566378942555521
