cohort,source,candidate,artifact,covered_images,mapped_vehicle_predictions,max_vehicle_predictions_per_image,q90,q95,q99,images_truncated_at_100,fraction_truncated_at_100,images_truncated_at_300,fraction_truncated_at_300,images_truncated_at_2000,fraction_truncated_at_2000,cap_2000_sufficient
legacy_frozen_pool,aitod,aitod_baseline640,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640/pred_rows.parquet,1869,322617,900,744.4000000000001,873.5999999999999,900.0,558,0.2985553772070626,430,0.23006955591225253,0,0.0,True
legacy_frozen_pool,uavdt,uavdt_baseline640,/root/zjh_UAV_detection/experiments/uavdt/oracle_route/cache_val_baseline640/pred_rows.parquet,305,200494,900,900.0,900.0,900.0,292,0.9573770491803278,259,0.8491803278688524,0,0.0,True
legacy_frozen_pool,uavdt,uavdt_tiling,/root/zjh_UAV_detection/experiments/uavdt/oracle_route/router_runs/tiling_baseline/pred_rows.parquet,305,110508,1066,642.4000000000019,1052.4,1058.0,272,0.8918032786885246,186,0.6098360655737705,0,0.0,True
legacy_frozen_pool,uavdt,uavdt_yolo11m704,/root/zjh_UAV_detection/experiments/uavdt/oracle_route/router_runs/probe_cache_val_yolo11m_imgsz704_conf0p001/pred_rows.parquet,305,14051,233,77.0,219.8,228.95999999999998,29,0.09508196721311475,0,0.0,0,0.0,True
legacy_frozen_pool,uavdt,uavdt_yolo11n640,/root/zjh_UAV_detection/experiments/uavdt/oracle_route/router_runs/yolo11n_val_pred_rows_imgsz640_conf0p001.parquet,305,24361,235,170.60000000000014,212.60000000000002,224.91999999999996,132,0.43278688524590164,0,0.0,0,0.0,True
legacy_frozen_pool,visdrone,visdrone_baseline640,/root/zjh_UAV_detection/experiments/visdrone/oracle_route/cache_val_baseline640/pred_rows.parquet,548,178622,806,587.0,636.3,705.2399999999998,490,0.8941605839416058,295,0.5383211678832117,0,0.0,True
legacy_frozen_pool,visdrone,visdrone_sahi640,/root/zjh_UAV_detection/experiments/visdrone/oracle_route/router_runs/sahi_baseline/canonical_sahi_640_ov20/sahi_pred_rows.parquet,548,93593,551,306.6,353.65,474.1299999999994,407,0.7427007299270073,61,0.11131386861313869,0,0.0,True
resubmission_controlled_pool,visdrone,visdrone_control_asd1280,/root/GRSL_Cross-Source_Label_Reliability_Auditing_for_Aerial_Object_Detection/outputs/resubmission_controlled_pool/visdrone/visdrone_control_asd1280/pred_rows.parquet,548,147760,1018,543.6,631.5999999999999,750.2399999999998,427,0.7791970802919708,206,0.3759124087591241,0,0.0,True
resubmission_controlled_pool,visdrone,visdrone_control_baseline1280,/root/GRSL_Cross-Source_Label_Reliability_Auditing_for_Aerial_Object_Detection/outputs/resubmission_controlled_pool/visdrone/visdrone_control_baseline1280/pred_rows.parquet,548,185582,1052,643.3,740.3,889.8299999999997,476,0.8686131386861314,286,0.5218978102189781,0,0.0,True
resubmission_controlled_pool,visdrone,visdrone_control_baseline640,/root/GRSL_Cross-Source_Label_Reliability_Auditing_for_Aerial_Object_Detection/outputs/resubmission_controlled_pool/visdrone/visdrone_control_baseline640/pred_rows.parquet,548,122985,574,397.3,448.0,521.7099999999998,436,0.7956204379562044,148,0.27007299270072993,0,0.0,True
resubmission_controlled_pool,visdrone,visdrone_control_yolo11m_hf640,/root/GRSL_Cross-Source_Label_Reliability_Auditing_for_Aerial_Object_Detection/outputs/resubmission_controlled_pool/visdrone/visdrone_control_yolo11m_hf640/pred_rows.parquet,548,61327,396,212.3,239.0,291.05999999999995,291,0.531021897810219,3,0.005474452554744526,0,0.0,True
resubmission_controlled_pool,visdrone,visdrone_control_yolo11n_p2_1280,/root/GRSL_Cross-Source_Label_Reliability_Auditing_for_Aerial_Object_Detection/outputs/resubmission_controlled_pool/visdrone/visdrone_control_yolo11n_p2_1280/pred_rows.parquet,548,237140,1881,931.6,1198.65,1555.549999999999,453,0.8266423357664233,301,0.5492700729927007,0,0.0,True
