metric,mode,threshold,contract,iou,candidate_a,candidate_b,point_a,point_b,point_difference,ci95_low,ci95_high,probability_a_gt_b,resampling_unit,sampling_units,common_images,replicates
F1@conf=.25,absolute,24.0,S,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8926558095834638,0.8697195324254465,0.02293627715801727,0.01854814131045173,0.02750000900262084,1.0,sequence,76,548,10000
max-F1,absolute,24.0,S,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.897940876656473,0.8816118839509213,0.01632899270555177,0.011888262475095227,0.02129484868182981,1.0,sequence,76,548,10000
AP,absolute,24.0,S,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.945277294900225,0.9371605587130423,0.008116736187182783,0.0051411327827605244,0.011954690403466995,1.0,sequence,76,548,10000
F1@conf=.25,absolute,24.0,S,0.5,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8799028251244073,0.8577053736874614,0.02219745143694596,0.017977534835333618,0.02687400207986177,1.0,sequence,76,548,10000
max-F1,absolute,24.0,S,0.5,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8885933928942448,0.8744816259494971,0.014111766944747695,0.00985750265384772,0.01907273462726245,1.0,sequence,76,548,10000
AP,absolute,24.0,S,0.5,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.923065158163156,0.9217326077902102,0.0013325503729458843,-0.003287896336749452,0.005224667249987504,0.6794,sequence,76,548,10000
F1@conf=.25,normalized,0.015,S,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8830775311244319,0.867309973391466,0.015767557732965898,0.011754110773935891,0.0200509452210789,1.0,sequence,76,548,10000
max-F1,normalized,0.015,S,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8830775311244319,0.873206772023987,0.009870759100444881,0.006004773637085051,0.014038257287938779,1.0,sequence,76,548,10000
AP,normalized,0.015,S,0.25,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.9310173308108559,0.9314972493968029,-0.0004799185859469812,-0.003033618922793532,0.004709744920943141,0.5815,sequence,76,548,10000
F1@conf=.25,normalized,0.015,S,0.5,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8664426434736773,0.8523769808173478,0.01406566265632947,0.010398204892823129,0.018072546421373476,1.0,sequence,76,548,10000
max-F1,normalized,0.015,S,0.5,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8692167822749006,0.8638568208210944,0.005359961453806239,0.0012663531216912161,0.01030661434681994,0.9944,sequence,76,548,10000
AP,normalized,0.015,S,0.5,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8986028417223055,0.9096266332737558,-0.01102379155145028,-0.018053588617291786,-0.005730656376801798,0.0,sequence,76,548,10000
