source,mode,threshold,policy,iou,max_dets,winner_candidate,runner_up_candidate,common_images,common_units,point_ap50_winner,point_ap50_runner_up,point_ap50_difference,ci95_low,ci95_high,winner_probability,replicates,resampling_unit
visdrone,absolute,24.0,include_all,0.5,300,visdrone_sahi640,visdrone_baseline640,548,548,0.7302042972987441,0.41370194743455097,0.3165023498641932,0.30893901225436166,0.30893901225436166,1.0,1,image
visdrone,absolute,24.0,exclude_without_ignore_protection,0.5,300,visdrone_sahi640,visdrone_baseline640,548,548,0.7684696938888416,0.41885598237877664,0.34961371151006493,0.34391378257358357,0.34391378257358357,1.0,1,image
visdrone,absolute,24.0,exclude_with_ignore_protection,0.5,300,visdrone_sahi640,visdrone_baseline640,548,548,0.768666392040239,0.41890828419598486,0.34975810784425415,0.3520392271523906,0.3520392271523906,1.0,1,image
visdrone,normalized,0.015,include_all,0.5,300,visdrone_sahi640,visdrone_baseline640,548,548,0.7302042972987441,0.41370194743455097,0.3165023498641932,0.32739464223201525,0.32739464223201525,1.0,1,image
visdrone,normalized,0.015,exclude_without_ignore_protection,0.5,300,visdrone_sahi640,visdrone_baseline640,548,548,0.7733693280544861,0.4249022193718014,0.3484671086826847,0.3440037400856884,0.3440037400856884,1.0,1,image
visdrone,normalized,0.015,exclude_with_ignore_protection,0.5,300,visdrone_sahi640,visdrone_baseline640,548,548,0.7735864202915183,0.4249746244927565,0.3486117957987617,0.3464033700130675,0.3464033700130675,1.0,1,image
uavdt,absolute,24.0,include_all,0.5,300,uavdt_tiling,uavdt_baseline640,305,93,0.4319240031896683,0.32040765429718915,0.11151634889247913,-0.13651730996976688,-0.13651730996976688,0.0,1,sequence_proxy
uavdt,absolute,24.0,exclude_without_ignore_protection,0.5,300,uavdt_tiling,uavdt_baseline640,305,93,0.41521579562921496,0.3171699031300829,0.09804589249913204,-0.13166726038536014,-0.13166726038536014,0.0,1,sequence_proxy
uavdt,normalized,0.015,include_all,0.5,300,uavdt_tiling,uavdt_baseline640,305,93,0.4319240031896683,0.32040765429718915,0.11151634889247913,-0.15406228863616273,-0.15406228863616273,0.0,1,sequence_proxy
uavdt,normalized,0.015,exclude_without_ignore_protection,0.5,300,uavdt_tiling,uavdt_baseline640,305,93,0.24854593344287806,0.21186937200687658,0.03667656143600148,0.08017429879286517,0.08017429879286517,1.0,1,sequence_proxy
