source,mode,threshold,policy,iou,winner_candidate,runner_up_candidate,common_images,common_units,point_f1_difference,ci95_low,ci95_high,winner_probability,replicates,resampling_unit
visdrone,absolute,24.0,include_all,0.25,visdrone_sahi640,visdrone_baseline640,548,548,0.3353575305847923,0.3279026917159578,0.34245653777651974,1.0,1000,image
visdrone,absolute,24.0,include_all,0.5,visdrone_sahi640,visdrone_baseline640,548,548,0.2528851713511422,0.24118824435689426,0.264219128007606,1.0,1000,image
visdrone,absolute,24.0,exclude_without_ignore_protection,0.25,visdrone_sahi640,visdrone_baseline640,548,548,0.32248184770427846,0.31581075779362233,0.32996156180819375,1.0,1000,image
visdrone,absolute,24.0,exclude_without_ignore_protection,0.5,visdrone_sahi640,visdrone_baseline640,548,548,0.2740038482884033,0.2649810146279494,0.283530759249792,1.0,1000,image
visdrone,absolute,24.0,exclude_with_ignore_protection,0.25,visdrone_sahi640,visdrone_baseline640,548,548,0.3230484081171807,0.3155463578082158,0.33029248570447106,1.0,1000,image
visdrone,absolute,24.0,exclude_with_ignore_protection,0.5,visdrone_sahi640,visdrone_baseline640,548,548,0.2745053660886573,0.2653009477591049,0.28350946044186115,1.0,1000,image
visdrone,normalized,0.015,include_all,0.25,visdrone_sahi640,visdrone_baseline640,548,548,0.3353575305847923,0.3279502825593508,0.3420770025766116,1.0,1000,image
visdrone,normalized,0.015,include_all,0.5,visdrone_sahi640,visdrone_baseline640,548,548,0.2528851713511422,0.24113767372668424,0.2641618131639983,1.0,1000,image
visdrone,normalized,0.015,exclude_without_ignore_protection,0.25,visdrone_sahi640,visdrone_baseline640,548,548,0.3310116984615737,0.32399883026678633,0.33765608816996956,1.0,1000,image
visdrone,normalized,0.015,exclude_without_ignore_protection,0.5,visdrone_sahi640,visdrone_baseline640,548,548,0.276734830816852,0.2670476945417549,0.28660251515559587,1.0,1000,image
visdrone,normalized,0.015,exclude_with_ignore_protection,0.25,visdrone_sahi640,visdrone_baseline640,548,548,0.33157652514388947,0.3246879449455231,0.3392799071784618,1.0,1000,image
visdrone,normalized,0.015,exclude_with_ignore_protection,0.5,visdrone_sahi640,visdrone_baseline640,548,548,0.27722911540945966,0.2677774452300284,0.2862219652771478,1.0,1000,image
uavdt,absolute,24.0,include_all,0.25,uavdt_tiling,uavdt_baseline640,305,93,0.19105397739240937,-0.23776971098953265,0.28212947325608784,0.786,1000,sequence_proxy
uavdt,absolute,24.0,include_all,0.5,uavdt_tiling,uavdt_baseline640,305,93,0.16198596726638625,-0.25799452736049316,0.25875613755527227,0.735,1000,sequence_proxy
uavdt,absolute,24.0,exclude_without_ignore_protection,0.25,uavdt_tiling,uavdt_baseline640,305,93,0.18483916373207865,-0.2293517927599691,0.27482366578697437,0.811,1000,sequence_proxy
uavdt,absolute,24.0,exclude_without_ignore_protection,0.5,uavdt_tiling,uavdt_baseline640,305,93,0.15588335389737523,-0.25099893441197124,0.25099009081868306,0.716,1000,sequence_proxy
uavdt,absolute,24.0,exclude_with_ignore_protection,0.25,uavdt_tiling,uavdt_baseline640,305,93,0.18483916373207865,-0.24274079357804731,0.2751745562548619,0.749,1000,sequence_proxy
uavdt,absolute,24.0,exclude_with_ignore_protection,0.5,uavdt_tiling,uavdt_baseline640,305,93,0.15588335389737523,-0.2605136986042292,0.25740399282796206,0.725,1000,sequence_proxy
uavdt,normalized,0.015,include_all,0.25,uavdt_tiling,uavdt_baseline640,305,93,0.19105397739240937,-0.23843414190374748,0.28106940654213936,0.808,1000,sequence_proxy
uavdt,normalized,0.015,include_all,0.5,uavdt_tiling,uavdt_baseline640,305,93,0.16198596726638625,-0.25006596641086876,0.255669004975719,0.721,1000,sequence_proxy
uavdt,normalized,0.015,exclude_without_ignore_protection,0.25,uavdt_tiling,uavdt_baseline640,305,93,0.1346328280474834,-0.23141627843881996,0.21847252194894384,0.775,1000,sequence_proxy
uavdt,normalized,0.015,exclude_without_ignore_protection,0.5,uavdt_tiling,uavdt_baseline640,305,93,0.10822077507610278,-0.2563244698551788,0.1955138645620659,0.691,1000,sequence_proxy
uavdt,normalized,0.015,exclude_with_ignore_protection,0.25,uavdt_tiling,uavdt_baseline640,305,93,0.1346328280474834,-0.23385659157508198,0.21701826374632543,0.782,1000,sequence_proxy
uavdt,normalized,0.015,exclude_with_ignore_protection,0.5,uavdt_tiling,uavdt_baseline640,305,93,0.10822077507610278,-0.23470767260037367,0.19446288621899865,0.705,1000,sequence_proxy
