candidate,short_candidate,rule_id,coordinate,threshold,contract,images,valid_gt,scored_gt,tp,fp,fn,neutralized,f1,false_positives_per_image,false_negatives_per_100_scored_vehicles,confirmed_vehicles_per_100_scored_alerts
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,S,548,17040,12496,11272,2153,1224,3748,0.8697195324254465,3.928832116788321,9.795134443021768,83.96275605214153
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,S,548,17040,15297,13527,2369,1770,1277,0.867309973391466,4.322992700729927,11.570896254167485,85.0968797181681
visdrone_control_baseline1280,B-1280,absolute_max_side,absolute,24.0,S,548,17040,12496,10909,3111,1587,4492,0.8228239553477146,5.677007299270073,12.700064020486556,77.81027104136948
visdrone_control_baseline1280,B-1280,normalized_max_side,normalized,0.015,S,548,17040,15297,13142,3370,2155,2000,0.8263070200257788,6.149635036496351,14.087729620186964,79.59060077519379
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,S,548,17040,12496,10276,2543,2220,2613,0.8118506814141813,4.640510948905109,17.765685019206146,80.1622591465793
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,S,548,17040,15297,12133,2649,3164,650,0.806742245420393,4.833941605839416,20.683794208014643,82.0795562170207
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,S,548,17040,12496,11401,1647,1095,2675,0.8926558095834638,3.0054744525547443,8.76280409731114,87.37737584304108
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,S,548,17040,15297,13406,1659,1891,658,0.8830775311244319,3.0273722627737225,12.361901026345034,88.98771988051776
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,S,548,17040,12496,10579,1660,1917,3576,0.8553871032949262,3.0291970802919708,15.340909090909092,86.4368003921889
visdrone_control_yolo11n_p2_1280,Y11n-P2,normalized_max_side,normalized,0.015,S,548,17040,15297,12664,1877,2633,1274,0.8488504591460554,3.4251824817518246,17.212525331764397,87.09167182449625
